,memory_1,memory_2,predict,size,width,height
0,716.72265625,716.8359375,47.95209503173828,1948.4013671875,2848,4288
1,716.8359375,716.98828125,46.27604675292969,188.3125,3264,2176
2,716.98828125,716.875,57.72674560546875,837.185546875,5000,3333
3,716.875,716.7578125,57.99440002441406,70.0,1280,792
4,716.7578125,716.80078125,51.72489547729492,126.953125,1280,853
5,716.80078125,717.0546875,46.14586639404297,590.1328125,4752,3168
6,717.0546875,716.828125,35.9178352355957,339.5703125,4272,2848
7,716.828125,716.77734375,61.33845520019531,268.2294921875,3456,2304
8,716.77734375,716.9609375,54.95762634277344,733.556640625,3264,2448
9,716.9609375,716.859375,58.33220672607422,977.572265625,5000,3269
10,716.859375,716.93359375,45.15302276611328,646.744140625,4608,3072
11,716.93359375,717.12890625,49.23390197753906,641.4052734375,4608,2592
12,717.12890625,717.26953125,50.334197998046875,137.7314453125,5000,2813
13,717.26953125,717.23828125,62.52556228637695,273.353515625,2500,1667
14,717.23828125,717.1953125,61.58976745605469,400.6484375,2500,1667
15,717.1953125,717.296875,62.22086715698242,592.181640625,3264,2448
16,717.296875,717.20703125,40.609710693359375,1923.216796875,4434,3729
17,717.20703125,716.94140625,44.026123046875,230.3818359375,3888,2592
18,716.94140625,717.0859375,51.17967987060547,1490.6669921875,4032,3024
19,717.0859375,717.09765625,61.65380096435547,372.49609375,3887,4899
20,717.09765625,717.140625,82.67475891113281,113.306640625,1500,997
21,717.140625,717.23828125,59.487098693847656,194.2568359375,1280,1707
22,717.23828125,717.27734375,54.76615905761719,1023.412109375,5000,3333
23,717.27734375,717.23828125,72.50125885009766,62.9853515625,1280,853
24,717.23828125,717.14453125,53.72364044189453,738.6865234375,4179,2790
25,717.14453125,717.171875,57.798988342285156,285.92578125,2500,1667
26,717.171875,774.578125,57.35335159301758,483.3779296875,1584,2376
27,774.578125,835.96484375,69.55197143554688,466.6923828125,2464,1632
28,835.96484375,774.59765625,46.588680267333984,68.9853515625,1280,1280
29,774.59765625,774.890625,66.12501525878906,223.9560546875,1631,1102
30,774.890625,774.94921875,57.07063674926758,379.2412109375,5000,3333
31,774.94921875,774.8359375,56.21863555908203,722.501953125,5000,3333
32,774.8359375,774.9921875,78.70294189453125,571.5048828125,3008,2008
33,774.9921875,775.01953125,64.3481674194336,536.724609375,3264,1836
34,775.01953125,775.09375,61.86540985107422,694.318359375,2500,1667
35,775.09375,775.09375,51.6978645324707,146.3056640625,2880,1920
36,775.09375,774.98046875,55.8653450012207,2088.6103515625,5000,3333
37,774.98046875,775.13671875,71.89817810058594,455.7919921875,3264,4912
38,775.13671875,775.20703125,52.996055603027344,448.0439453125,3264,2448
39,775.20703125,775.2265625,29.9796199798584,1032.962890625,4209,2769
40,775.2265625,775.25390625,57.406593322753906,253.67578125,4855,1803
41,775.25390625,775.28515625,53.04779052734375,77.4443359375,1280,960
42,775.28515625,775.2890625,69.27778625488281,405.53125,3264,2176
43,775.2890625,775.375,69.57976531982422,72.408203125,1280,901
