,memory_1,memory_2,predict,size,width,height
0,543.2734375,650.859375,59.487098693847656,194.2568359375,1280,1707
1,650.859375,651.01171875,81.64604949951172,821.3251953125,4288,2848
2,651.01171875,651.375,57.72674560546875,837.185546875,5000,3333
3,651.375,651.5546875,52.595394134521484,522.5478515625,2048,2048
4,651.5546875,659.84375,60.65560531616211,114.41796875,1280,831
5,659.84375,659.91015625,56.326416015625,116.76953125,3456,2304
6,659.91015625,660.02734375,45.15302276611328,646.744140625,4608,3072
7,660.02734375,660.0703125,69.55197143554688,466.6923828125,2464,1632
8,660.0703125,660.23046875,62.52556228637695,273.353515625,2500,1667
9,660.23046875,660.25390625,57.406593322753906,253.67578125,4855,1803
10,660.25390625,660.30078125,52.996055603027344,448.0439453125,3264,2448
11,660.30078125,660.2890625,60.997737884521484,227.7275390625,2621,1747
12,660.2890625,660.2734375,57.17314147949219,269.1865234375,3568,2368
13,660.2734375,660.3515625,57.96574783325195,1368.6826171875,5000,3333
14,660.3515625,660.50390625,72.50125885009766,62.9853515625,1280,853
15,660.50390625,660.58203125,62.22086715698242,592.181640625,3264,2448
16,660.58203125,716.765625,53.04779052734375,77.4443359375,1280,960
17,716.765625,716.91015625,54.388999938964844,597.138671875,3504,2336
18,716.91015625,716.734375,70.49764251708984,481.9296875,3000,1992
19,716.734375,716.72265625,51.72489547729492,126.953125,1280,853
