,memory_1,memory_2,predict,size,duration,width,height
0,548.81640625,595.5546875,57.175716400146484,810.810546875,31.90721082687378,3465,3008
1,595.5546875,735.9140625,61.51206970214844,291.4091796875,14.677504301071167,2200,1650
2,735.9140625,735.953125,48.70529556274414,854.0478515625,19.824328422546387,2448,2448
3,735.953125,626.21875,55.79884338378906,1681.248046875,42.92854595184326,5000,3333
4,626.21875,663.78515625,69.77890014648438,136.3505859375,10.30565619468689,1600,1067
5,663.78515625,663.78515625,50.797386169433594,1133.1396484375,40.04212236404419,4272,2848
6,663.78515625,663.7890625,52.59538650512695,522.5478515625,15.564961671829224,2048,2048
7,663.7890625,663.79296875,42.510009765625,627.9658203125,27.386406183242798,3504,2336
8,663.79296875,663.79296875,51.340370178222656,1697.1982421875,47.0301878452301,4228,2773
9,663.79296875,665.06640625,65.9039077758789,192.8984375,9.29477596282959,1440,879
10,665.06640625,665.0625,54.75819778442383,532.6015625,40.652397871017456,5000,3334
11,665.0625,665.05859375,56.233612060546875,2258.609375,61.66797637939453,4912,3264
12,665.05859375,626.109375,56.57356262207031,455.5,16.104626178741455,2500,1667
13,626.109375,626.10546875,74.40474700927734,213.267578125,13.410176515579224,1739,1391
14,626.10546875,626.1015625,50.19482421875,983.72265625,44.83804965019226,4106,2806
15,626.1015625,654.28515625,56.6654052734375,229.7197265625,21.4911789894104,3264,2176
16,654.28515625,656.83984375,56.39702606201172,1198.509765625,41.86122393608093,5000,3224
17,656.83984375,656.8359375,47.764671325683594,2170.4638671875,37.36722731590271,4240,2832
18,656.8359375,656.83203125,55.58575439453125,806.859375,37.06857919692993,4288,2848
19,656.83203125,656.828125,64.3481674194336,536.724609375,20.478999376296997,3264,1836
20,656.828125,656.828125,65.48068237304688,447.4736328125,24.770447969436646,1999,2998
21,656.828125,656.82421875,50.329307556152344,822.8310546875,41.17680883407593,4928,3264
22,656.82421875,656.8203125,46.27604293823242,188.3125,22.60206437110901,3264,2176
23,656.8203125,626.3828125,64.1568374633789,153.4853515625,10.242804765701294,1600,589
24,626.3828125,626.37890625,69.55196380615234,466.6923828125,15.68637752532959,2464,1632
25,626.37890625,669.03125,69.12181854248047,211.7626953125,12.785521745681763,2048,1365
26,669.03125,674.24609375,55.42298126220703,78.546875,8.76523208618164,768,1024
27,674.24609375,674.2421875,61.99141311645508,639.22265625,18.96384286880493,2592,1936
28,674.2421875,685.15234375,75.27721405029297,135.1923828125,9.518809795379639,1200,715
