,memory_1,memory_2,predict,size,duration,width,height
0,545.2734375,588.84765625,32.70343017578125,546.9921875,9.77260684967041,4928,3264
1,588.84765625,598.15625,56.21863555908203,722.501953125,9.350587129592896,5000,3333
2,598.15625,673.890625,70.0602035522461,97.3095703125,6.7980053424835205,1920,1280
3,673.890625,674.1640625,56.665409088134766,229.7197265625,7.347259283065796,3264,2176
4,674.1640625,674.234375,51.50009536743164,350.5029296875,13.743834257125854,5000,3333
5,674.234375,674.4921875,53.538822174072266,128.7109375,6.899852752685547,3264,2176
6,674.4921875,674.71484375,70.77497863769531,1810.533203125,57.30779552459717,4912,3264
7,674.71484375,674.609375,61.17296600341797,241.787109375,10.24905776977539,3264,2448
8,674.734375,674.9609375,52.187583923339844,1210.09765625,13.672798871994019,4088,2715
9,674.9609375,675.10546875,53.555904388427734,55.095703125,7.60802149772644,1280,848
10,675.10546875,675.046875,54.551048278808594,1472.1044921875,12.581295728683472,5000,2917
11,675.046875,675.19921875,58.9571533203125,168.6513671875,14.267135858535767,4288,2848
12,675.19921875,675.1953125,64.15682983398438,153.4853515625,11.701986074447632,1600,589
13,675.1953125,675.48046875,37.40202331542969,823.1689453125,50.7694628238678,4475,2984
14,675.48046875,675.4296875,61.33845520019531,268.2294921875,15.864051580429077,3456,2304
15,675.4296875,675.171875,55.58575439453125,806.859375,13.194463729858398,4288,2848
16,675.171875,675.34375,49.23390197753906,641.4052734375,16.040159463882446,4608,2592
17,675.34375,675.1640625,67.12570190429688,1201.1259765625,13.130672693252563,5000,3333
18,675.1640625,675.08984375,60.997737884521484,227.7275390625,17.8748300075531,2621,1747
19,675.08984375,675.328125,43.72119140625,1738.0302734375,44.778714418411255,3600,2385
20,675.328125,675.23828125,50.997406005859375,968.88671875,23.41507315635681,5000,3333
21,675.23828125,675.36328125,64.55199432373047,344.0625,32.514533281326294,3264,2448
22,675.36328125,675.3828125,49.080780029296875,896.6748046875,10.984094381332397,3578,2451
23,675.3828125,675.40234375,56.620994567871094,329.2373046875,75.18982076644897,2000,1328
24,675.40234375,675.3671875,60.44446563720703,272.6533203125,24.047313451766968,4272,2848
25,675.3671875,675.359375,75.7443618774414,81.46484375,77.79790353775024,1920,713
