,memory_1,memory_2,predict,size,width,height
0,545.23046875,586.9765625,80.46440124511719,301.6025390625,2909,1934
1,586.9765625,604.0546875,34.939823150634766,383.6025390625,3000,1987
2,604.0546875,604.21484375,60.071529388427734,320.7177734375,4326,2884
3,604.21484375,604.5390625,50.334197998046875,137.7314453125,5000,2813
4,604.5390625,604.51171875,59.21532440185547,1441.84375,4608,3072
5,604.51171875,604.484375,57.034664154052734,474.1708984375,5000,3333
6,604.484375,604.890625,52.02677917480469,142.259765625,3807,2538
7,604.890625,604.82421875,55.15485763549805,496.568359375,4592,2576
8,604.82421875,604.75390625,53.88788604736328,407.998046875,5000,3333
9,604.75390625,604.98828125,45.47797393798828,1618.2529296875,5000,3333
10,604.98828125,652.14453125,54.388999938964844,597.138671875,3504,2336
11,652.14453125,669.15625,76.18231201171875,35.2666015625,1200,737
12,669.15625,667.24609375,58.8823356628418,158.8837890625,1280,960
13,667.24609375,667.078125,49.79204559326172,1963.1962890625,5000,3333
14,667.078125,666.96875,60.98050308227539,330.2705078125,5000,3333
15,666.96875,667.06640625,61.99140548706055,639.22265625,2592,1936
16,667.06640625,667.1796875,60.225799560546875,452.13671875,4272,2848
17,667.1796875,667.30078125,54.7581901550293,532.6015625,5000,3334
18,667.30078125,667.28125,46.93220138549805,1511.0830078125,4250,2801
19,667.28125,603.48046875,43.534637451171875,1034.568359375,5000,3333
20,603.48046875,661.0390625,63.91455841064453,961.6044921875,3888,2592
21,661.0390625,663.91796875,58.44118881225586,813.3984375,5000,3324
22,663.91796875,663.8671875,65.9039077758789,192.8984375,1440,879
23,663.8671875,664.1015625,68.1195297241211,300.203125,2592,1728
24,664.1015625,663.984375,52.187583923339844,1210.09765625,4088,2715
25,663.984375,664.3125,28.818498611450195,442.85546875,4147,2756
26,664.3125,696.0703125,62.22086715698242,592.181640625,3264,2448
27,696.0703125,695.859375,57.05647277832031,468.638671875,4728,3168
28,695.859375,696.0859375,42.510009765625,627.9658203125,3504,2336
29,696.0859375,635.30078125,62.702457427978516,481.1240234375,3995,2662
30,635.30078125,635.30078125,64.63200378417969,124.576171875,1024,683
31,635.30078125,635.3828125,56.318450927734375,952.47265625,4912,2760
32,635.3828125,635.41796875,55.430416107177734,598.0166015625,5000,3281
33,635.41796875,686.99609375,65.3652572631836,498.4970703125,3670,2462
34,686.99609375,797.51953125,53.15740203857422,309.0869140625,2316,1544
35,797.51953125,848.92578125,57.22481155395508,110.462890625,1500,1500
36,848.92578125,849.08984375,48.912864685058594,1025.3466796875,4871,3247
37,849.08984375,849.171875,46.14567565917969,1227.525390625,3872,2416
38,849.171875,797.87109375,52.595394134521484,522.5478515625,2048,2048
39,797.87109375,797.91796875,43.71342086791992,288.7080078125,4752,3168
40,797.91796875,797.8046875,39.0091552734375,333.0185546875,2980,2151
41,797.8046875,797.8515625,58.12367248535156,240.7119140625,2400,1600
42,797.8515625,797.82421875,59.92875671386719,890.2138671875,3264,2168
43,797.82421875,797.7890625,31.432634353637695,693.9033203125,5000,2542
44,797.7890625,798.0,61.58976745605469,400.6484375,2500,1667
45,798.0,798.046875,55.08369064331055,481.3466796875,3500,2095
46,798.046875,798.06640625,55.234344482421875,110.595703125,2048,1536
47,798.06640625,798.15234375,50.07106399536133,183.0390625,2048,1536
48,798.15234375,798.0546875,57.406593322753906,253.67578125,4855,1803
49,798.0546875,798.05078125,55.91590881347656,768.72265625,4442,2961
50,798.05078125,798.078125,52.18696212768555,833.9111328125,3823,2549
51,798.078125,798.1953125,62.23187255859375,565.8779296875,2896,1944
52,798.1953125,798.171875,49.080780029296875,896.6748046875,3578,2451
53,798.171875,798.1640625,54.52281188964844,711.7314453125,4912,3264
54,798.1640625,798.0234375,50.176414489746094,1306.8525390625,5000,3333
55,798.0234375,798.06640625,74.26934051513672,598.8369140625,2742,1828
