id,imageUrl,title,size,alto,ancho,clarity,N1,N4,N8,Nsize,Ndimensions
7347,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16440507052024_1644052.jpeg,2,122970,1600,1118,79.43,79.45378112792969,71.23657989501953,67.30064392089844,79.45378112792969,50.50468826293945
7346,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16440207052024_1643561.png,1,1759792,1240,1748,70.37,69.93579864501953,60.21978759765625,62.02298355102539,47.71539306640625,46.76525115966797
7350,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16473907052024_164732ferreroelsaborqueteacompaaencadaexperiencia.png,ferreroelsaborqueteacompaaencadaexperiencia,3230888,2048,2048,71.64,70.43390655517578,64.87845611572266,55.89363479614258,49.25167465209961,48.53662109375
7353,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16540107052024_165359capturadepantalla20240507alas104959.png,capturadepantalla20240507alas104959,332399,966,648,82.4,82.34555053710938,74.44161987304688,60.012359619140625,80.47248840332031,60.57056427001953
7354,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16540407052024_165402capturadepantalla20240507alas105031.png,capturadepantalla20240507alas105031,855796,964,724,69.31,69.33158874511719,53.18387985229492,40.87034606933594,40.87034606933594,39.294429779052734
7357,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16550007052024_165459whatsappimage20240506at123504pm.jpeg,whatsappimage20240506at123504pm,683298,1600,1236,56.5,56.69681930541992,57.45826721191406,54.79987335205078,56.679988861083984,48.24103546142578
7356,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16545707052024_165457whatsappimage20240506at123504pm1.jpeg,whatsappimage20240506at123504pm1,76034,754,1228,75.66,75.39434814453125,71.95539093017578,43.55405807495117,75.39434814453125,39.69789505004883
7355,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_16545607052024_1654483.png,3,2361542,3300,2550,74.46,74.5465087890625,52.9388427734375,48.851905822753906,37.912742614746094,31.852283477783203
7362,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_17415707052024_174151capturadepantalla20240507alas113333am.png,capturadepantalla20240507alas113333am,2284091,1880,1886,53.7,53.51430130004883,52.43980407714844,49.618682861328125,42.42473602294922,42.03438949584961
7363,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_17420607052024_174159capturadepantalla20240507alas113356am.png,capturadepantalla20240507alas113356am,3012608,1880,1888,65.51,64.76991271972656,58.56528091430664,58.684898376464844,45.58634567260742,44.908287048339844
7364,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_17421907052024_174208capturadepantalla20240507alas113406am.png,capturadepantalla20240507alas113406am,4270833,1890,1882,58.78,58.69188690185547,52.6619758605957,51.518272399902344,43.2735710144043,43.86315155029297
7366,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_18084607052024_180845whatsappimage20240507at113313am.jpeg,whatsappimage20240507at113313am,220876,1280,1020,74.2,73.29002380371094,74.22044372558594,61.22026824951172,72.0564193725586,40.46392059326172
7368,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_18085107052024_180850whatsappimage20240507at113513am.jpeg,whatsappimage20240507at113513am,377878,1600,1279,67.7,67.52964782714844,64.99673461914062,59.90669631958008,59.09406661987305,45.69554901123047
7367,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_18084907052024_180848whatsappimage20240507at113606am.jpeg,whatsappimage20240507at113606am,239285,1600,1279,72.18,72.3837890625,72.49101257324219,66.8695068359375,71.28929138183594,46.99515151977539
7369,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_18085307052024_180852whatsappimage20240507at113440am.jpeg,whatsappimage20240507at113440am,298539,1600,1292,62.98,62.666358947753906,64.58736419677734,56.6899299621582,63.377708435058594,41.22750473022461
7375,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_21314607052024_213139alcanza1.png,alcanza1,2980892,1304,2316,73.0,73.0835952758789,66.04721069335938,61.191612243652344,36.75688171386719,40.52751922607422
7377,https://neurons-prod.s3.amazonaws.com/Stimulus/images/2024-05-07_21320607052024_213200alcanza3.png,alcanza3,2836792,1302,2316,74.98,75.27891540527344,66.64186096191406,61.2257080078125,35.16086196899414,38.96023941040039
